. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
.15s..hydroperoxy..11z.13e..icosadienoic acid
.15z..12.oxophyto.10.15.dienoic acid
.15z..9.12.13.trihydroxy.15.octadecenoic acid
.15z..octadec.15.en.9.11.13.triynoic acid
.15z..tetracosenoic acid
.15z.18z.21z.24z..triacontatetraenoic acid
.15z.18z.21z.24z.27z..triacontapentaenoic acid
.16..17..methyloctadecanoic acid
.16alpha.20r..20.24.epoxy.2.16.dihydroxy.25.26.27.trinorcucurbita.1.5.23.triene.3.11.22.trione 2.o.beta.dglucopyranoside
.16alpha.20r.22s.23s..16.23.22.25.diepoxy.2.20.22.23.tetrahydroxycucurbita.1.5.diene.3.11.dione 2.o.beta.d.glucopyranoside
.16alpha.20r.24r..24n.25.carbamoyloxy.2.16.20.trihydroxycucurbita.1.5.diene.3.11.22.trione 2.o.beta.d.glucopyranoside
.16alpha.20r.24s..16.24.epoxy.2.20.25.trihydroxycucurbita.1.5.diene.3.11.22.trione 2.o.beta.d.glucopyranoside
.16alpha.20r.24s..2.16.20.25.tetrahydroxy.24.methoxycucurbita.1.5.diene.3.11.22.trione 2.o.beta.d.glucopyranoside
.16alpha.20s.22s.23s..16.23.22.25.diepoxy.2.22.23.trihydroxycucurbita.1.5.diene.3.11.dione 2.o.beta.d.glucopyranoside
.16r..16.hydroxymargaric acid
.16r..hydroxyroquefortine c
.16r.17s.18s.21s..6...16r.17s.18s.21s..17.carboxy.18.hydroxy.17.21.dimethyl.10.azapentacyclo.11.8.0.03.11.04.9.016.21.henicosa.1.3.11..4.6.8.12.hexaen.10.yl..18.hydroxy.17.21.dimethyl.10.azapentacyclo.11.8.0.03.11.04.9.016.21.henicosa.1.3.11..4.9..5.7.12.hexaene.17.carboxylic acid
.16s..hydroxyroquefortine c
.16s.17s..epoxy..4z.7z.10z.12e.14e.19z..docosahexaenoic acid
.16s.17s..epoxy..7z.10z.12e.14e.19z..docosapentaenoic acid
.16z.19z.22z.25z.28z..tetratriacontapentaenoic acid
.16z.19z.22z.25z.28z.31z..tetratriacontahexaenoic acid
.17r..hydroxydocosahexaenoic acid
.17z..hexacosenoic acid
.17z..icosenoic acid
.17z..n...2s.3r.4e..1....2r.5s.6r..3.5.dihydroxy.6..hydroxymethyl..4..sulfooxy.oxan.2.yl.oxy..3.hydroxyoctadec.4.en.2.yl.hexacos.17.enimidic acid
.17z.20z.23z.26z..dotriacontatetraenoic acid
.17z.20z.23z.26z.29z..dotriacontapentaenoic acid
.18.f radiopharmaceutical
.18r ..18.o.1.b.xylopyranosyl..1.6..b.d.glucopyranoside
.18r..18.hydroxynonadecanoic acid
.18r..resolvin e3
.18r.21s..24.amino.21.hydroxy.21.oxido.15.oxo.16.20.22.trioxa.21lambdalambda.5..phosphatetracosan.18.yl icosanoate
.18s..hydroperoxyicosapentaenoic acid
.18s..resolvin e1
.18s..resolvin e1.1..
.18s..resolvin e2
.18s..resolvin e2.1..
.18s.19r.21s.35s..3....3s.4s.5s.6r..4.amino.3.5.dihydroxy.6.methyl.2.oxanyl.oxy..19.25.27.29.32.33.35.37.octahydroxy.18.20.21.trimethyl.23.oxo.22.39.dioxabicyclo.33.3.1.nonatriaconta.4.6.8.10.14.16.hexaene.38.carboxylic acid
.18z.21z.24z.27z.30z..hexatriacontapentaenoic acid
.18z.21z.24z.27z.30z.33z..hexatriacontahexaenoic acid
.19r..19.hydroxyicosanoic acid
.19z.22z.25z.28z..tetratriacontatetraenoic acid
.19z.22z.25z.28z.31z..tetratriacontapentaenoic acid
.1ar.4s.4as.5s.9as..4.4a.6.trimethyl.9.oxo.2.3.4.4a.5.9.hexahydro.1ah.oxireno.8.8a.naphtho.2.3.b.furan.5.yl 2.methylpropanoate
.1as.3r.4r.4ar.6s.7r.8as..7.chloro.3.6.dihydroxy.3.4a.8.8.tetramethyl.octahydro.1ah.naphtho.1.b.oxirene.4.carboxylic acid
.1beta.2alpha.3alpha..1.2.3.24.tetrahydroxy.12.oleanen.28.oic acid
.1e..2.3.4.5.6.pentahydroxyhexanal oxime
.1e..2.6.dimethylhepta.1.5.dien.1.yl formate
.1e..2.methylpropanal o.methyloxime
.1e..4.oxobut.1.ene.1.2.4.tricarboxylic acid
.1e.2s..2.methylbutanal oxime
.1e.2z..3.hydroxy.5.9.17.trioxo.4.5.9.10.disecoandrosta.1.10..2.dien.4.oic acid
.1e.4e..germacrene b
.1e.4z..germacrene b
.1r..1.3.diphenylpropyl .2s..1..3.3.dimethyl.2.oxopentanoyl.piperidine.2.carboxylate
.1r..1.4.5.10.tetrahydrophenazine.1.carboxylic acid
.1r..1.cyclohexyl.3.phenylpropyl .2s..1..3.3.dimethyl.2.oxopentanoyl.piperidine.2.carboxylate
.1r..1....1..n...s..hydroxy.morpholin.4.yl.methyl..beta.phenyl.d.phenylalanyl..1h.pyrrol.2.yl.carbonyl.amino..4.methoxybutylboronic acid
.1r..2.2.dimethyl.1...5..4..trifluoromethyl.phenyl..1.3.4.oxadiazol.2.yl.methyl.propyl .1s..1..oxo..2.oxo.1.3.oxazolidin.3.yl.amino.acetyl.pentylcarbamate
.1r..2...cyanomethyl.amino..1....2..difluoromethoxy.benzyl.sulfonyl.methyl..2.oxoethyl morpholine.4.carboxylate
.1r..3.methyl.1...n..morpholin.4.ylcarbonyl..3..1.naphthyl..d.alanyl.amino.butylboronic acid
.1r..cis.2.2.dimethyl.3..1.2.2.2.tetrabromoethyl.cyclopropanecarboxylic acid
.1r..2r..4r..8s...p.menthane.1.2.8.9.tetrol 9.glucoside
.1r..3r..3.apos.s...1.2.3.4.tetrahydro.1..2.thio.3.pyrrolidinyl..beta.carboline.3.carboxylic acid
.1r..4r..6s..7s..9r..10r..12r.. 13r...1.10.dibromo.4.7.6.13.9.12.trisepoxypentadeca.1.2.diene
.1r.10as..1.4.10.10a.tetrahydrophenazine.1.6.dicarboxylic acid
.1r.10as..1.4.10.10a.tetrahydrophenazine.1.carboxylic acid
.1r.2r..1.amino.2.ethylcyclopropanecarboxylic acid
.1r.2r..3...1.2.dihydro.2.hydroxy.1.naphthalenyl.thio..2.oxopropanoic acid
.1r.2r..3.oxo.2.pentyl.cyclopentanebutanoic acid
.1r.2r..3.oxo.2.pentyl.cyclopentanehexanoic acid
.1r.2r..3.oxo.2.pentyl.cyclopentaneoctanoic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.22..benzenesulfonamido..5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.22..3.4.bis.butylsulfanyl..2.5.dioxopyrrol.1.yl..5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.22..3.4.bis.hexylsulfanyl..2.5.dioxopyrrol.1.yl..5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.15.dichloro.22..dodecylsulfonylamino..26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.15.dichloro.22..hexylsulfonylamino..26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.22..octylsulfonylamino..21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.22...4.methylphenyl.sulfonylamino..21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.22r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.22..4..2..2..2..2..4..octoxymethyl.triazol.1.yl.ethoxy.ethoxy.ethoxy.ethoxymethyl.triazol.1.yl..21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.22..4..2..2..2..2..3.4.bis.butylsulfanyl..2.5.dioxopyrrol.1.yl.ethoxy.ethoxy.ethoxy.ethoxymethyl.triazol.1.yl..5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.22..4..2..2..2..2..3.4.bis.hexylsulfanyl..2.5.dioxopyrrol.1.yl.ethoxy.ethoxy.ethoxy.ethoxymethyl.triazol.1.yl..5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.22..4...3.4.bis.butylsulfanyl..2.5.dioxopyrrol.1.yl.methyl.triazol.1.yl..5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.19r.34s.37r.40r.52r..2...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.22..4...3.4.bis.hexylsulfanyl..2.5.dioxopyrrol.1.yl.methyl.triazol.1.yl..5.15.dichloro.26.31.38.44.47.49.64.heptahydroxy.21.35.54.56.59.pentaoxo.7.13.28.trioxa.20.36.39.53.55.58.hexazaundecacyclo.38.14.2.23.6.214.17.219.34.18.12.123.27.129.33.141.45.010.37.046.51.hexahexaconta.3.5.8.10.12.64..14.16.23.61..24.26.29.60..30.32.41.57..42.44.46.51..47.49.62.65.henicosaene.52.carboxylic acid
.1r.2r.3r..prephytoene diphosphate
.1r.2r.3r..prephytoene diphosphate.3..
.1r.2r.3s.1.apos.r..nepetalinic acid
.1r.2r.3s.4r.6s..4.6.diamino.2...2.o..2...3.aminopropyl.amino.ethyl..3.o..2.6.diamino.2.6.dideoxy.beta.l.idopyranosyl..beta.d.ribofuranosyl.oxy..3.hydroxycyclohexyl 2.amino.2.deoxy.alpha.d.glucopyranoside
.1r.2r.3s.4r.6s..4.6.diamino.2...3.o..2.6.diamino.2.6.dideoxy.beta.l.idopyranosyl..2.o..2....3r..piperidin.3.ylmethyl.amino.ethyl..beta.d.ribofuranosyl.oxy..3.hydroxycyclohexyl 2.amino.2.deoxy.alpha.d.glucopyranoside
.1r.2r.3s.4r.6s..4.6.diamino.3.hydroxy.2...alpha.d.mannopyranosyl..1..gt.4..2.6.diamino.2.6.dideoxy.beta.l.idopyranosyl..1..gt.3..beta.d.ribofuranosyl.oxy.cyclohexyl 2.amino.2.3.dideoxy.alpha.d.ribo.hexopyranoside
.1r.2r.3s.5r..2.acetamido.7..1.2.dihydroxyethyl..3.hydroxy.6.8.dioxabicyclo.3.2.1.octane.5.carboxylic acid
.1r.2r.3s.8ar..7.acetyl.1.2.3.4.8.8a.hexahydro.3.6.dihydroxy.1.8a.dimethylnaphthalen.2.yl acetate
.1r.2r.3s.8r.10r.11r.15s.16s..3..acetyloxy..15..1.hydroxy.4.oxobutan.2.yl..2.7.7.11.16.pentamethyl.5.oxo.6.oxatetracyclo.9.7.0.0.2.8..0.12.16..octadec.12.en.10.yl acetate
.1r.2r.3s.8r.10r.11r.15s.16s..3..acetyloxy..15...4r..4...2s..3.3.dimethyloxiran.2.yl..1.4.dihydroxybutan.2.yl..2.7.7.11.16.pentamethyl.5.oxo.6.oxatetracyclo.9.7.0.0.2.8..0.12.16..octadec.12.en.10.yl acetate
.1r.2r.4ar.8as..1..2..furan.3.yl.ethyl..2.4a.5.trimethyl.2.3.4.7.8.8a.hexahydronaphthalene.1.carboxylic acid
.1r.2r.4as.6as.6br.10r.11s.12r.12ar..1.10.11.12.tetrahydroxy.1.2.6a.6b.9.9.12a.heptamethyl.2.3.4.5.6.6a.7.8.8a.10.11.12.13.14b.tetradecahydropicene.4a.carboxylic acid
.1r.2r.4as.6as.6br.10s.11r.12ar..1.10.11.trihydroxy.1.2.6a.6b.9.9.12a.heptamethyl.2.3.4.5.6.6a.7.8.8a.10.11.12.13.14b.tetradecahydropicene.4a.carboxylic acid
.1r.2r.4as.8as..2...2r..2.hydroxybutyl..1.3.dimethyl.4a.5.6.7.8.8a.hexahydro.2h.naphthalene.1.carboxylic acid
.1r.2r.4s..p.menthane.1.2.8.triol 8.glucoside
.1r.2r.4s.6r..2.6.fenchanediol 2.o.b.d.glucoside
.1r.2r.5s.8r.14r.15r.16s..16.hydroxy.1.2.14.17.17.pentamethyl.8.prop.1.en.2.ylpentacyclo.11.7.0.02.10.05.9.014.18.icosane.5.15.dicarboxylic acid
.1r.2r.5s.8s.10r.11s.12s..5.12.dihydroxy.11.methyl.6.methylidene.16.oxo.15.oxapentacyclo.9.3.2.15.8.01.10.02.8.heptadec.13.ene.9.carboxylic acid
.1r.2r.9s.10s..7.15.diazatetracyclo.7.7.1.02.7.010.15.heptadecane.6.carboxylic acid
.1r.2s..1.amino.2.ethylcyclopropanecarboxylic acid
.1r.2s..2....1s..1...1.3.dioxo.2.isoindolyl.methyl..3.4.dihydro.1h.isoquinolin.2.yl..oxomethyl..1.cyclohexanecarboxylic acid
.1r.2s..cicloxilic acid
.1r.2s..naphthalene 1.2.oxide
.1r.2s..tranylcypromine hydrochloride
.1r.2s.1.apos.r.2.apos.s..doxacurium chloride
.1r.2s.12s.14r.15r.17s..2.6.6.11.14.17.hexamethyl.8.18.19.trioxo.7.16.20.trioxapentacyclo.13.3.3.01.15.02.12.05.10.henicosa.4.10.diene.14.carboxylic acid
.1r.2s.3s.4r..6..1..4.chloro.3.sulfamoylbenzamido..5.hydroxy.2.methyl.2.3.4.5.tetrahydroindol.4.yl..2.3.4.trihydroxycyclohexane.1.carboxylic acid
.1r.2s.3s.4s..4.formyl.2.methoxy.3...2e..6.methylhept.2.en.2.yl.cyclohexyl .2e..3..4.methoxyphenyl.acrylate
.1r.2s.3s.4s.5s.8r.9r.12r..5.hydroxy.8..hydroxymethyl..4.methyl.13.methylidenetetracyclo.10.2.1.01.9.03.8.pentadecane.2.4.dicarboxylic acid
.1r.2s.4r.5r.8r.9s.11s..2....2r.3s.4s.5r.6r..4.acetyloxy.3.hydroxy.5.methoxy.6.methyloxan.2.yl.oxymethyl..9.ormyl.5.methyl.13.propan.2.yltetracyclo.7.4.0.02.11.04.8.tridec.12.ene.1.carboxylic acid
.1r.2s.4r.5r.8r.9s.11s..9.ormyl.2....2r.3s.4s.5r.6r..3.hydroxy.5.methoxy.6.methyl.4...2e.4z..2.methylhexa.2.4.dienoyl.oxyoxan.2.yl.oxymethyl..5.methyl.13.propan.2.yltetracyclo.7.4.0.02.11.04.8.tridec.12.ene.1.carboxylic acid
.1r.2s.4r.5r.8r.9s.11s..9.ormyl.2....2r.3s.4s.5r.6r..3.hydroxy.5.methoxy.6.methyl.4...2z.4z..2.methylhexa.2.4.dienoyl.oxyoxan.2.yl.oxymethyl..5.methyl.13.propan.2.yltetracyclo.7.4.0.02.11.04.8.tridec.12.ene.1.carboxylic acid
.1r.2s.4r.5r.8r.9s.11s..9.ormyl.2....2r.3s.4s.5r.6r..3.hydroxy.6..hydroxymethyl..5.methoxy.4...2z.4e..2.methylhexa.2.4.dienoyl.oxyoxan.2.yl.oxymethyl..5.methyl.13.propan.2.yltetracyclo.7.4.0.02.11.04.8.tridec.12.ene.1.carboxylic acid
.1r.2s.4r.5s..2.5.fenchanediol 2.o.b.d.glucoside
.1r.2s.4r.8s.9s.12r..2.formyl.4.8.dimethyl.13.methylidenetetracyclo.10.2.1.01.9.03.8.pentadecane.4.carboxylic acid
.1r.2s.5s.6s..2..3.carboxypropanoyl..5...1.carboxyvinyl.oxy..6.hydroxycyclohex.3.ene.1.carboxylic acid
.1r.3as.5ar.5br.9r.10r.11ar..9.10.dihydroxy.5a.5b.8.8.11a.pentamethyl.1.prop.1.en.2.yl.1.2.3.4.5.6.7.7a.9.10.11.11b.12.13.13a.13b.hexadecahydrocyclopenta.a.chrysene.3a.carboxylic acid
.1r.3as.5ar.5br.9s.11ar..1.acetyl.9.hydroxy.5a.5b.8.8.11a.pentamethyl.1.2.3.4.5.6.7.7a.9.10.11.11b.12.13.13a.13b.hexadecahydrocyclopenta.a.chrysene.3a.carboxylic acid
.1r.3as.5as.5br.11ar.13ar..5b.8.8.11a.tetramethyl.9.oxo.1.prop.1.en.2.yl.2.3.4.5.6.7.7a.10.11.11b.12.13.13a.13b.tetradecahydro.1h.cyclopenta.a.chrysene.3a.5a.dicarboxylic acid
.1r.3as.5bs.9r.11ar.13as..9.hydroxy.5b.8.8.11a.tetramethyl.1..prop.1.en.2.yl.icosahydro.3ah.cyclopenta.a.chrysene.3a.carboxylic acid
.1r.3s..3..adamantan.1.yl..1..aminomethyl..3.4.dihydroisochromene.5.6.diol hydrochloride
.1r.3s.4s..1.8.epoxy.p.menthan.3.ol glucoside
.1r.3s.4s.6r..6.9.dihydroxyfenchone 6.o.b.d.glucoside
.1r.4ar..1.4a.dimethyl.6.oxo.7.propan.2.yl.3.4.4b.5.10.10a.hexahydro.2h.phenanthrene.1.carboxylic acid
.1r.4ar..6.hydroxy.1.4a.dimethyl.7.propan.2.yl.2.3.4.4b.5.6.10.10a.octahydrophenanthrene.1.carboxylic acid
.1r.4ar.4bs.7r.10ar..7.ethenyl.6.hydroxy.1.4a.7.trimethyl.3.4.4b.5.6.9.10.10a.octahydro.2h.phenanthrene.1.carboxylic acid
.1r.4ar.5s..5..3.hydroxy.3.methylpent.4.enyl..1.4a.dimethyl.6.methylidene.3.4.5.7.8.8a.hexahydro.2h.naphthalene.1.carboxylic acid
.1r.4as.5r.8as..5..5.hydroxy.3.methylpentyl..1.4a.dimethyl.6.methylidene.3.4.5.7.8.8a.hexahydro.2h.naphthalene.1.carboxylic acid
.1r.4r..1.7.7.trimethylbicyclo.2.2.1.heptane.2beta.ol 3..4.hydroxyphenyl.acrylate
.1r.4r.4ar.4bs.7r..7.ethenyl.4.4b.10.trihydroxy.1.4a.7.trimethyl.9.oxo.3.4.5.6.tetrahydro.2h.phenanthrene.1.carboxylic acid
.1r.4r.5s..5.hydroxyfenchone glucoside
.1r.4s..1.hydroperoxy.p.menth.2.en.8.ol acetate
.1r.4s.6r..6.hydroxyfenchone glucoside
.1r.5as.6r..1.4.5.5a.6.9.hexahydrophenazine.1.6.dicarboxylic acid
.1r.5r.5as.9r.9ar.9br..1.9.9b.trihydroxy.6.6.9a.trimethyl.1.3.5.5a.6.7.8.9.9a.9b.decahydronaphtho.1.2.c.furan.5.yl hexanoate
.1r.5s..benzobicyclon hydrolysate
.1r.6r..2.succinyl.6.hydroxycyclohexa.2.4.diene.1.carboxylic acid
.1r.6r..6.amino.5.oxocyclohex.2.ene.1.carboxylic acid
.1r.6s..1.6.dihydroxy.4.methylcyclohexa.2.4.diene.1.carboxylic acid
.1r.6s..1.6.dihydroxycyclohexa.2.4.dienecarboxylic acid
.1r.6s..6.amino.5.oxocyclohex.2.ene.1.carboxylic acid
.1rs.2rs..guaiacylglycerol 1.glucoside
.1s......camphanic acid
.1s..1.7.diacetoxy.luvungin a
.1s..1..9.deazahypoxanthin.9.yl..1.4.dideoxy.1.4.imino.d.ribitol 5.phosphate
.1s..1.acetoxy.luvungin a
.1s..1.hydroxy.luvungin a
.1s..isoindoline.1.carboxylic acid
.1s.2r..1.amino.2.ethylcyclopropanecarboxylic acid
.1s.2r..1.c..indol.3.yl.glycerol 3.phosphate
.1s.2r..1.c..indol.3.yl.glycerol 3.phosphate.2..
.1s.2r..2....1s..1...1.3.dioxo.2.isoindolyl.methyl..3.4.dihydro.1h.isoquinolin.2.yl..oxomethyl..1.cyclohexanecarboxylic acid
.1s.2r..2...4...2.4.dimethylphenyl.sulfamoyl.anilino..oxomethyl..1.cyclohexanecarboxylic acid
.1s.2r..3.oxo.2..2z.pentenyl.cyclopentane.1.butyric acid
.1s.2r..3.oxo.2..2z.pentenyl.cyclopentane.1.hexanoic acid
.1s.2r..3.oxo.2..2z.pentenyl.cyclopentane.1.octanoic acid
.1s.2r..3.oxo.2.pentylcyclopentane.1.butyric acid
.1s.2r..3.oxo.2.pentylcyclopentane.1.hexanoic acid
.1s.2r..3.oxo.2.pentylcyclopentane.1.octanoic acid
.1s.2r..4..4.methylpent.3.enyl.cyclohex.4.ene.1.2.dicarboxylic acid
.1s.2r..5.methoxy.1.methyl.2..propylamino.tetralin hydrochloride
.1s.2r..cicloxilic acid
.1s.2r..naphthalene 1.2.oxide
.1s.2r..tranylcypromine hydrochloride
.1s.2r.1.apos.s.2.apos.r..doxacurium chloride
.1s.2r.4r..p.menth.8.ene.2.10.diol 2.glucoside
.1s.2r.4r.8s..p.menthane.2.8.9.triol 2.glucoside
.1s.2r.4r.8s..p.menthane.2.8.9.triol 9.glucoside
.1s.2r.4s......bornyl acetate
.1s.2s..1.2.dihydroxypropylphosphonic acid
.1s.2s..1.amino.2.ethylcyclopropanecarboxylic acid
.1s.2s..2...1s..1.amino.1.carboxy.2..9h.xanthen.9.yl.ethyl..1.cyclopropanecarboxylic acid
.1s.2s..2...1s..1.amino.1.carboxyethyl..1.cyclopropanecarboxylic acid
.1s.2s..3.oxo.2.pentyl.cyclopentanebutanoic acid
.1s.2s..3.oxo.2.pentyl.cyclopentanehexanoic acid
.1s.2s..3.oxo.2.pentyl.cyclopentaneoctanoic acid
.1s.2s.3e.7r.11e.13r..2.hydroxy.7.methyl 6.oxabicyclo.11.3.0.hexadecane.3.11.diene.5.15.dione
.1s.2s.3s..prephytoene diphosphate
.1s.2s.4ar.6s.8.s.8as.3.s.5.r.2..s..methyl 1.2.4a.5.6.7.8.8a.octahydro.3..5..dihydroxy.2.6.dimethyl.8...2.methyl.1.oxobutyl.oxy..1.naphthaleneheptanoate
.1s.2s.4r..1.8.epoxy.p.menthan.2.ol glucoside
.1s.2s.4r..p.menth.8.ene.1.2.10.triol 2.glucoside
.1s.2s.4r.5r.8r.9s.11s..2....2r.3s.4s.5r.6r..3.hydroxy.5.methoxy.6.methyl.4...2z.4e..2.methylhexa.2.4.dienoyl.oxyoxan.2.yl.oxymethyl..9..hydroxymethyl..5.methyl.13.propan.2.yltetracyclo.7.4.0.02.11.04.8.tridec.12.ene.1.carboxylic acid
.1s.2s.4r.5s.7s..2.5.7.fenchanetriol 2.o.b.d.glucoside
.1s.2s.4r.8s..p.menthane.1.2.8.9.tetrol 2.glucoside
.1s.2s.4s..1.8.epoxy.p.menthane.2.7.diol 2.o.b.d.glucoside
.1s.2s.4s.5s..2.4.7.thujanetriol 4.glucoside
.1s.2s.4s.5s..2.4.thujanediol 4.o.beta.d.glucopyranoside
.1s.2s.8xi.9beta.16alpha.17xi..1..beta.d.glucopyranosyloxy..2.16.20.trihydroxy.9.10.14.trimethyl.11.22.dioxo.4.9.cyclo.9.10.secocholest.5.en.25.yl acetate
